"filename", "language", "C#", "JSON", "Markdown", "XML", "YAML", "Docker", "Properties", "comment", "blank", "total"
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Migrations/20241215093929_InitialMigrations.cs", "C#", 215, 0, 0, 0, 0, 0, 0, 3, 25, 243
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Migrations/20241215100135_AddFileTypeToFileMaster.Designer.cs", "C#", 236, 0, 0, 0, 0, 0, 0, 2, 78, 316
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Migrations/20241215100135_AddFileTypeToFileMaster.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 3, 4, 30
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Migrations/ApplicationDbContextModelSnapshot.cs", "C#", 234, 0, 0, 0, 0, 0, 0, 1, 78, 313
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/DB/ApplicationDbContext.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 5, 4, 38
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/DB/Entities/FileMasterEntity.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 3, 5, 34
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/DB/Entities/LogEntity.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/FileModule/Enum/FileType.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/FileModule/Interface/IFileService.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 5, 1, 12
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/FileModule/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/LogModule/ExecUserLoggingMiddleware.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 4, 3, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/Request/CreateUserRequest.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 9, 3, 19
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/Request/DeleteUserRequest.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 3, 0, 8
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/Request/LoginRequest.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 14, 0, 21
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/Request/UpdateUserRequest.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 9, 0, 16
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/Response/LoginResponse.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 9, 0, 15
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/UserModule/Interface/ILoginService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/UserModule/Interface/IUserManagerService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/UserModule/LoginService.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 5, 4, 30
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/UserModule/Security/AllowAnonymousOnlyAttribute.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/UserModule/Security/SecurityModule.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Module/UserModule/UserManagerService.cs", "C#", 88, 0, 0, 0, 0, 0, 0, 7, 16, 111
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/PrivateDataServer.csproj", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Program.cs", "C#", 74, 0, 0, 0, 0, 0, 0, 8, 15, 97
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Properties/launchSettings.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/appsettings.Development.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/appsettings.Test.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/appsettings.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/docker-compose.yml", "YAML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 22
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"Total", "-", 1566, 13347, 34, 94, 22, 17, 15, 158, 405, 15658
